State,Code,Coal,Natural Gas,Distillate Fuel Oil,HGL,Jet Fuel,Motor Gasoline,Residual Fuel Oil,Petrolium Other,Total Petrolium,Nuclear Fuel,Wood and Waste,Primary Energy Total,Electric Power Sector,Electric Retail Sales,2018 Population,Consumption Rank,"Total Energy Consumed per Capita, million Btu",Production Share,"Production, Rank","Consumption, Million Btu","Consumption, Rank","Expenditures, Dollars","Expenditures, Rank"
Alabama,AL,2.54,4.49,20.68,22.12,15.39,20.4,9.08,26.54,20.47,0.74,2.81,7.25,2.17,28.27,"4,887,681",14,400,1.3,14,400,14,4491,15
Alaska,AK,6.49,8.9,23.07,22.62,16.23,30.73,11.74,28.88,21.26,0,10.24,17.67,7.76,56.8,"735,139",4,830,1.5,13,830,4,8060,3
Arizona,AZ,2.44,4.71,21.92,25.05,15.93,24.72,0,22.88,23.52,0.68,5.77,10.04,2.01,31.8,"7,158,024",46,208,0.6,29,208,46,3189,48
Arkansas,AR,1.99,5.86,20.77,19.22,15.5,20.64,0,22.44,20.61,0.81,3.03,8.36,2.07,22.83,"3,009,733",17,372,0.9,23,372,17,4156,21
California,CA,3.53,7.42,26.78,25.39,15.67,28.09,14.93,28.81,24.72,0.68,3.11,17.39,3.68,48.69,"39,461,588",48,202,2.5,12,202,48,3522,38
Colorado,CO,1.65,5.46,21.18,21.39,15.81,22.33,0,25.84,21.38,0,8.87,11.21,2.3,29.41,"5,691,287",34,266,3.8,7,266,34,3239,47
Connecticut,CT,4.37,7.47,21.3,30.11,16.27,23.42,12.22,22.65,22.65,0.68,3.43,12.04,2.61,53.97,"3,571,520",45,211,0.2,41,211,45,3960,25
Delaware,DE,2.64,7.25,21.04,24.94,15.86,22.91,11.54,22.8,22.5,0,3.87,14.61,3.53,31.12,"965,479",28,301,0,50,301,28,3867,30
Georgia,GA,2.78,6.16,20.72,23.01,15.5,20.2,13.41,22.74,20.33,0.79,2.78,9.86,2.53,28.19,"10,511,131",33,274,0.7,28,274,33,3397,42
Hawaii,HI,3.28,34.29,23.71,21.82,15.79,30.74,13.05,25.83,19.78,0,1.13,18.67,11.87,85.59,"1,420,593",47,206,0,48,206,47,4658,12
Idaho,ID,2.34,4.91,23.05,22.52,16.1,24.2,9.92,23.8,23.38,0,5.03,15.53,3.43,23.95,"1,750,536",24,316,0.2,42,316,24,3951,27
Illinois,IL,1.92,6.56,23.02,12.74,15.88,21.72,10.63,27.13,20.91,0.72,2.58,8.44,1.3,28.33,"12,723,071",25,315,2.7,11,315,25,3522,39
Indiana,IN,2.48,5.79,22.14,19.73,15.47,20.98,9.32,21.49,20.82,0,3.49,8.68,2.35,28.68,"6,695,497",11,424,1.1,16,424,11,4486,16
Iowa,IA,1.71,5.57,20.86,11.94,15.64,21.34,11.12,23.7,19.59,0.75,3.72,9.16,1.72,26.13,"3,148,618",5,513,0.9,22,513,5,4956,6
